Periodic Table by L. Quon

118 elements

No.  Sym  Name                      Mass
---  ---  --------------------  --------
                  Average Mass:   146.44
 89  Ac   Actinium                227.00
 13  Al   Aluminum                 26.98
 95  Am   Americium               243.00
 51  Sb   Antimony                121.76
 18  Ar   Argon                    39.95
 33  As   Arsenic                  74.92
 85  At   Astatine                210.00
 56  Ba   Barium                  137.33
 97  Bk   Berkelium               247.00
  4  Be   Beryllium                 9.01
 83  Bi   Bismuth                 208.98
107  Bh   Bohrium                 272.00
  5  B    Boron                    10.81
 35  Br   Bromine                  79.90
 48  Cd   Cadmium                 112.41
 20  Ca   Calcium                  40.08
 98  Cf   Californium             251.00
  6  C    Carbon                   12.01
 58  Ce   Cerium                  140.12
 55  Cs   Cesium                  132.91
 17  Cl   Chlorine                 35.45
 24  Cr   Chromium                 52.00
 27  Co   Cobalt                   58.93
112  Cn   Copernicium             285.00
 29  Cu   Copper                   63.55
 96  Cm   Curium                  247.00
110  Ds   Darmstadtium            281.00
105  Db   Dubnium                 268.00
 66  Dy   Dysprosium              162.50
 99  Es   Einsteinium             252.00
 68  Er   Erbium                  167.26
 63  Eu   Europium                151.96
100  Fm   Fermium                 257.00
  9  F    Fluorine                 19.00
 87  Fr   Francium                223.00
 64  Gd   Gadolinium              157.25
 31  Ga   Gallium                  69.72
 32  Ge   Germanium                72.64
 79  Au   Gold                    196.97
 72  Hf   Hafnium                 178.49
108  Hs   Hassium                 270.00
  2  He   Helium                    4.00
 67  Ho   Holmium                 164.93
  1  H    Hydrogen                  1.01
 49  In   Indium                  114.82
 53  I    Iodine                  126.90
 77  Ir   Iridium                 192.22
 26  Fe   Iron                     55.85
 36  Kr   Krypton                  83.80
 57  La   Lanthanum               138.91
103  Lr   Lawrencium              262.00
 82  Pb   Lead                    207.20
  3  Li   Lithium                   6.94
 71  Lu   Lutetium                174.97
 12  Mg   Magnesium                24.31
 25  Mn   Manganese                54.94
109  Mt   Meitnerium              276.00
101  Md   Mendelevium             258.00
 80  Hg   Mercury                 200.59
 42  Mo   Molybdenum               95.96
 60  Nd   Neodymium               144.24
 10  Ne   Neon                     20.18
 93  Np   Neptunium               237.00
 28  Ni   Nickel                   58.69
 41  Nb   Niobium                  92.91
  7  N    Nitrogen                 14.01
102  No   Nobelium                259.00
 76  Os   Osmium                  190.23
  8  O    Oxygen                   16.00
 46  Pd   Palladium               106.42
 15  P    Phosphorus               30.97
 78  Pt   Platinum                195.08
 94  Pu   Plutonium               244.00
 84  Po   Polonium                209.00
 19  K    Potassium                39.10
 59  Pr   Praseodymium            140.91
 61  Pm   Promethium              145.00
 91  Pa   Protactinium            231.04
 88  Ra   Radium                  226.00
 86  Rn   Radon                   222.00
 75  Re   Rhenium                 186.21
 45  Rh   Rhodium                 102.91
111  Rg   Roentgenium             280.00
 37  Rb   Rubidium                 85.47
 44  Ru   Ruthenium               101.07
104  Rf   Rutherfordium           267.00
 62  Sm   Samarium                150.36
 21  Sc   Scandium                 44.96
106  Sg   Seaborgium              271.00
 34  Se   Selenium                 78.96
 14  Si   Silicon                  28.09
 47  Ag   Silver                  107.87
 11  Na   Sodium                   22.99
 38  Sr   Strontium                87.62
 16  S    Sulfur                   32.07
 73  Ta   Tantalum                180.95
 43  Tc   Technetium               98.00
 52  Te   Tellurium               127.60
 65  Tb   Terbium                 158.93
 81  Tl   Thallium                204.38
 90  Th   Thorium                 232.04
 69  Tm   Thulium                 168.93
 50  Sn   Tin                     118.71
 22  Ti   Titanium                 47.87
 74  W    Tungsten                183.84
116  Uuh  Ununhexium              293.00
118  Uuo  Ununoctium              294.00
115  Uup  Ununpentium             288.00
114  Uuq  Ununquadium             289.00
117  Uus  Ununseptium             294.00
113  Uut  Ununtrium               284.00
 92  U    Uranium                 238.03
 23  V    Vanadium                 50.94
 54  Xe   Xenon                   131.29
 70  Yb   Ytterbium               173.05
 39  Y    Yttrium                  88.91
 30  Zn   Zinc                     65.38
 40  Zr   Zirconium                91.22
